xmsim(64): 22.03-s012: (c) Copyright 1995-2023 Cadence Design Systems, Inc.
TOOL:	xmsim(64)	22.03-s012: Started on Jul 06, 2026 at 19:54:00 KST
xmsim
    -MESS
    tb_fdivider

Loading snapshot work_lib.tb_fdivider:module .................... Done
xcelium> run
Time=5000, clk_in=1, clk_out=0
Time=15000, clk_in=1, clk_out=0
Time=25000, clk_in=1, clk_out=0
Time=35000, clk_in=1, clk_out=0
Time=45000, clk_in=1, clk_out=0
Time=55000, clk_in=1, clk_out=0
Time=65000, clk_in=1, clk_out=0
Time=75000, clk_in=1, clk_out=1
Time=85000, clk_in=1, clk_out=1
Time=95000, clk_in=1, clk_out=1
Time=105000, clk_in=1, clk_out=1
Time=115000, clk_in=1, clk_out=1
Time=125000, clk_in=1, clk_out=0
Time=135000, clk_in=1, clk_out=0
Time=145000, clk_in=1, clk_out=0
Time=155000, clk_in=1, clk_out=0
Time=165000, clk_in=1, clk_out=0
Time=175000, clk_in=1, clk_out=1
Time=185000, clk_in=1, clk_out=1
Time=195000, clk_in=1, clk_out=1
Time=205000, clk_in=1, clk_out=1
Time=215000, clk_in=1, clk_out=1
Time=225000, clk_in=1, clk_out=0
Time=235000, clk_in=1, clk_out=0
Time=245000, clk_in=1, clk_out=0
Time=255000, clk_in=1, clk_out=0
Time=265000, clk_in=1, clk_out=0
Time=275000, clk_in=1, clk_out=1
Time=285000, clk_in=1, clk_out=1
Time=295000, clk_in=1, clk_out=1
Time=305000, clk_in=1, clk_out=1
Time=315000, clk_in=1, clk_out=1
Time=325000, clk_in=1, clk_out=0
Time=335000, clk_in=1, clk_out=0
Time=345000, clk_in=1, clk_out=0
Time=355000, clk_in=1, clk_out=0
Time=365000, clk_in=1, clk_out=0
Time=375000, clk_in=1, clk_out=1
Time=385000, clk_in=1, clk_out=1
Time=395000, clk_in=1, clk_out=1
Time=405000, clk_in=1, clk_out=1
Time=415000, clk_in=1, clk_out=1
Time=425000, clk_in=1, clk_out=0
Time=435000, clk_in=1, clk_out=0
Time=445000, clk_in=1, clk_out=0
Time=455000, clk_in=1, clk_out=0
Time=465000, clk_in=1, clk_out=0
Time=475000, clk_in=1, clk_out=1
Time=485000, clk_in=1, clk_out=1
Time=495000, clk_in=1, clk_out=1
Time=505000, clk_in=1, clk_out=1
Time=515000, clk_in=1, clk_out=1
Time=525000, clk_in=1, clk_out=0
Time=535000, clk_in=1, clk_out=0
Time=545000, clk_in=1, clk_out=0
Time=555000, clk_in=1, clk_out=0
Time=565000, clk_in=1, clk_out=0
Time=575000, clk_in=1, clk_out=1
Time=585000, clk_in=1, clk_out=1
Time=595000, clk_in=1, clk_out=1
Time=605000, clk_in=1, clk_out=1
Time=615000, clk_in=1, clk_out=1
Time=625000, clk_in=1, clk_out=0
Time=635000, clk_in=1, clk_out=0
Time=645000, clk_in=1, clk_out=0
Time=655000, clk_in=1, clk_out=0
Time=665000, clk_in=1, clk_out=0
Time=675000, clk_in=1, clk_out=1
Time=685000, clk_in=1, clk_out=1
Time=695000, clk_in=1, clk_out=1
Time=705000, clk_in=1, clk_out=1
Time=715000, clk_in=1, clk_out=1
Time=725000, clk_in=1, clk_out=0
Time=735000, clk_in=1, clk_out=0
Time=745000, clk_in=1, clk_out=0
Time=755000, clk_in=1, clk_out=0
Time=765000, clk_in=1, clk_out=0
Time=775000, clk_in=1, clk_out=1
Time=785000, clk_in=1, clk_out=1
Time=795000, clk_in=1, clk_out=1
Time=805000, clk_in=1, clk_out=1
Time=815000, clk_in=1, clk_out=1
Time=825000, clk_in=1, clk_out=0
Time=835000, clk_in=1, clk_out=0
Time=845000, clk_in=1, clk_out=0
Time=855000, clk_in=1, clk_out=0
Time=865000, clk_in=1, clk_out=0
Time=875000, clk_in=1, clk_out=1
Time=885000, clk_in=1, clk_out=1
Time=895000, clk_in=1, clk_out=1
Time=905000, clk_in=1, clk_out=1
Time=915000, clk_in=1, clk_out=1
Time=925000, clk_in=1, clk_out=0
Time=935000, clk_in=1, clk_out=0
Time=945000, clk_in=1, clk_out=0
Time=955000, clk_in=1, clk_out=0
Time=965000, clk_in=1, clk_out=0
Time=975000, clk_in=1, clk_out=1
Time=985000, clk_in=1, clk_out=1
Time=995000, clk_in=1, clk_out=1
Time=1005000, clk_in=1, clk_out=1
Time=1015000, clk_in=1, clk_out=1
Time=1025000, clk_in=1, clk_out=0
Time=1035000, clk_in=1, clk_out=0
Time=1045000, clk_in=1, clk_out=0
Time=1055000, clk_in=1, clk_out=0
Time=1065000, clk_in=1, clk_out=0
Time=1075000, clk_in=1, clk_out=1
Time=1085000, clk_in=1, clk_out=1
Time=1095000, clk_in=1, clk_out=1
Time=1105000, clk_in=1, clk_out=1
Time=1115000, clk_in=1, clk_out=1
Time=1125000, clk_in=1, clk_out=0
Time=1135000, clk_in=1, clk_out=0
Time=1145000, clk_in=1, clk_out=0
Time=1155000, clk_in=1, clk_out=0
Time=1165000, clk_in=1, clk_out=0
Time=1175000, clk_in=1, clk_out=1
Time=1185000, clk_in=1, clk_out=1
Time=1195000, clk_in=1, clk_out=1
